asset,model,n_trades,ann_return,sharpe
S&P500,Logistic,3,-0.002116191312306781,-0.09554916394666711
S&P500,RandomForest,68,-0.017226131062370365,-0.27363474199298526
S&P500,GradBoost,107,-0.0359804909439142,-0.3234030880485431
NASDAQ,Logistic,28,-0.01356816918852033,-0.22184919722446197
NASDAQ,RandomForest,111,-0.02602047251432693,-0.23846786186753796
NASDAQ,GradBoost,123,-0.051010007552631964,-0.5713293667987728
WTIoil,Logistic,4,-0.004967171271787474,-0.28941726781139027
WTIoil,RandomForest,171,0.03753729163031827,0.3638654922142967
WTIoil,GradBoost,130,0.01417828608910221,0.17844031888349352
