asset,strategy,ann_return,sharpe,max_dd,trades,pvalue,theta,hit
S&P500,Buy&Hold,0.05307097703019603,0.36521737824374323,-0.5677538775030555,1,,0.005,
S&P500,DC-Trend,-0.10553177801680302,-0.47665981766150606,-0.8126550878602026,885,,0.005,
S&P500,DC-ML,0.00040686210027707226,0.05043933526193323,-0.2888488427967951,133,0.3694,0.005,0.40601503759398494
NASDAQ,Buy&Hold,0.08620248226843841,0.5005187951261991,-0.5562830650392007,1,,0.005,
NASDAQ,DC-Trend,-0.0974169048145972,-0.37976283386135073,-0.8236479014601095,974,,0.005,
NASDAQ,DC-ML,-0.0008625506666166682,0.041239341007913606,-0.23578026462544033,150,0.3974,0.005,0.4066666666666667
WTIoil,Buy&Hold,0.046809597108184775,0.3115851439902198,-0.8197646411121053,1,,0.005,
WTIoil,DC-Trend,-0.1692272680058977,-0.28287167807490565,-0.9939326185164924,1970,,0.005,
WTIoil,DC-ML,-0.022516226720782684,-0.1927314439136525,-0.5004738001584478,109,0.8968,0.005,0.26605504587155965
S&P500,Buy&Hold,0.05171274251636748,0.35729870962342464,-0.5677538775030553,1,,0.0075,
S&P500,DC-Trend,-0.12630374667037425,-0.5925249381348475,-0.8695887004400176,689,,0.0075,
S&P500,DC-ML,-0.0318667269115438,-0.2594498193384701,-0.4736392060001847,120,0.8704,0.0075,0.35
NASDAQ,Buy&Hold,0.08768144224562069,0.5092613429322367,-0.5562830650392014,1,,0.0075,
NASDAQ,DC-Trend,-0.11553250350243871,-0.4814914742088869,-0.8590783775748669,809,,0.0075,
NASDAQ,DC-ML,-0.04327201271385872,-0.42248316627593263,-0.5011942984005109,123,0.9696,0.0075,0.3333333333333333
WTIoil,Buy&Hold,0.03889832874865817,0.29214473585870465,-0.8197646411121049,1,,0.0075,
WTIoil,DC-Trend,-0.2380279902875444,-0.5031692566526464,-0.9967843615015791,1760,,0.0075,
WTIoil,DC-ML,-0.02159850337547564,-0.1360262474139392,-0.48884500532656894,183,0.7768,0.0075,0.3442622950819672
S&P500,Buy&Hold,0.0550772921366276,0.37250817180342144,-0.5677538775030555,1,,0.01,
S&P500,DC-Trend,-0.15909450311401052,-0.7822828869778387,-0.9101518896717825,579,,0.01,
S&P500,DC-ML,-0.0359804909439142,-0.3234030880485431,-0.5367810479091087,107,0.8876,0.01,0.35514018691588783
NASDAQ,Buy&Hold,0.08971776318911728,0.521562249664207,-0.5562830650392016,1,,0.01,
NASDAQ,DC-Trend,-0.14121913992760549,-0.6317970281251025,-0.9142225402662393,698,,0.01,
NASDAQ,DC-ML,-0.051010007552631964,-0.5713293667987728,-0.5884011442383188,123,0.9506,0.01,0.3170731707317073
WTIoil,Buy&Hold,0.039589773514101756,0.29380092651728446,-0.8197646411121053,1,,0.01,
WTIoil,DC-Trend,-0.24121133856953925,-0.5148915721697941,-0.9968996285938735,1573,,0.01,
WTIoil,DC-ML,0.01417828608910221,0.17844031888349352,-0.34113120639206684,130,0.206,0.01,0.4076923076923077
S&P500,Buy&Hold,0.05381269288207613,0.3711124760508621,-0.567753877503056,1,,0.02,
S&P500,DC-Trend,-0.09637572621175483,-0.4344084656109081,-0.8057882808819543,300,,0.02,
S&P500,DC-ML,-0.033869456512933716,-0.22661135284650197,-0.49119006669480725,68,0.9128,0.02,0.36764705882352944
NASDAQ,Buy&Hold,0.08388914609010856,0.5005083947720029,-0.5562830650392007,1,,0.02,
NASDAQ,DC-Trend,-0.08482414506687841,-0.3351470001835142,-0.8120319888164031,408,,0.02,
NASDAQ,DC-ML,-0.03136467387055997,-0.2733333173717259,-0.427801410071021,105,0.922,0.02,0.3333333333333333
WTIoil,Buy&Hold,0.04853476735409479,0.3158293678049927,-0.8197646411121051,1,,0.02,
WTIoil,DC-Trend,-0.10209954877685212,-0.08333326259450519,-0.9364076092455637,1004,,0.02,
WTIoil,DC-ML,-0.019348604753038123,-0.04307490569703653,-0.6020178003055664,159,0.5954,0.02,0.3522012578616352
S&P500,Buy&Hold,0.04799950903209704,0.3338029289225929,-0.5537282999521121,1,,0.03,
S&P500,DC-Trend,-0.0722028901192241,-0.26955938140475044,-0.681280969144676,174,,0.03,
S&P500,DC-ML,-0.011984713632091193,-0.036599574422320306,-0.4067687364083987,55,0.4776,0.03,0.41818181818181815
NASDAQ,Buy&Hold,0.09205071117237829,0.537404297137297,-0.556283065039201,1,,0.03,
NASDAQ,DC-Trend,-0.058782991985746214,-0.1972297743486568,-0.7251857233084089,262,,0.03,
NASDAQ,DC-ML,-0.049895489514683256,-0.43965828063295903,-0.6350562603767744,84,0.9916,0.03,0.3333333333333333
WTIoil,Buy&Hold,0.05545884035439386,0.33283137171834115,-0.819764641112106,1,,0.03,
WTIoil,DC-Trend,-0.08792149926429693,-0.04363705016784744,-0.9305906792012468,709,,0.03,
WTIoil,DC-ML,0.014959744253588925,0.17291057147895453,-0.40709498914971465,112,0.1818,0.03,0.36607142857142855
