asset,strategy,ann_return,sharpe,max_dd,trades,pvalue,hit
S&P500,Buy&Hold,0.0550772921366276,0.37250817180342144,-0.5677538775030555,1,,
S&P500,DC-Trend,-0.15909450311401052,-0.7822828869778387,-0.9101518896717825,579,,
S&P500,DC-ML,-0.0359804909439142,-0.3234030880485431,-0.5367810479091087,107,0.8876,0.35514018691588783
NASDAQ,Buy&Hold,0.08971776318911728,0.521562249664207,-0.5562830650392016,1,,
NASDAQ,DC-Trend,-0.14121913992760549,-0.6317970281251025,-0.9142225402662393,698,,
NASDAQ,DC-ML,-0.051010007552631964,-0.5713293667987728,-0.5884011442383188,123,0.9506,0.3170731707317073
WTIoil,Buy&Hold,0.039589773514101756,0.29380092651728446,-0.8197646411121053,1,,
WTIoil,DC-Trend,-0.24121133856953925,-0.5148915721697941,-0.9968996285938735,1573,,
WTIoil,DC-ML,0.01417828608910221,0.17844031888349352,-0.34113120639206684,130,0.206,0.4076923076923077
